lr,batch_size,val_loss
5e-05,8,0.019548732601106168
1e-05,8,0.02077987268567085
5e-06,8,0.025618178024888038
5e-05,16,0.03211050356427828
0.0001,16,0.039663864920536675
1e-05,16,0.0407027043402195
0.0001,8,0.043153437227010726
5e-06,16,0.047069145987431206
5e-06,32,0.0687442272901535
0.0001,32,0.06897737085819244
1e-05,32,0.07087625935673714
5e-05,32,0.0719587653875351
