lr,batch_size,val_loss
5e-05,64,0.05661512790247798
0.0001,32,0.05666309401679497
0.0001,64,0.05667331265285611
0.0001,16,0.05673108590193666
5e-05,32,0.057085481902154595
0.0005,64,0.05833932813256979
0.001,16,0.05847257042590242
0.001,32,0.05892343372584154
5e-05,16,0.058982896570784926
0.0005,32,0.059209382973420314
0.001,64,0.059363154042512176
0.0005,16,0.05998338225822991
